"Type","Title","Href","Descr","Carrier_No","Component_No","Copied_To_Items","Copied_From_Items","Format","File_format","File_size","Item_Type","Entered_Date","Modified_Date","Who_Entered","Who_Modified","AFC","AFS","AFCI","LCCN","ITEM_BARCODE_NUMBER","SHA1_DIGEST","OTHER"
"VideoTapeCarrier","1845117-1-1 The face behind the file : American Indian veterans","/VideoTapeCarrier/key/1845117-1-1","1/2"" VHS","1","1","","","V","","","VA","2011-09-15T10:21:12","2011-11-09T14:40:01","ASWA","ASWA","afc200100128922","","afc200100128922mv06","","199899041","",""
"VideoTapeCarrier","1845101-1-1 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845101-1-1","1/2"" VHS","1","1","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-1 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-1 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-1","","V","","","VA","2011-09-15T09:39:12","2012-01-26T19:01:18","ASWA","WORKF","afc200100128922","","","","199899375","","AFC200100128922MV01"
"VideoTapeCarrier","1845101-1-2 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845101-1-2","1/2"" VHS","2","1","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-2 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-2 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-2","","V","","","VA","2011-11-10T11:58:57","2012-01-26T20:03:18","ASWA","WORKF","afc200100128922","","afc200100128922mv02","","199899363","",""
"VideoTapeCarrier","1845101-1-3 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845101-1-3","1/2"" VHS","3","1","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-3 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-3 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-3","","V","","","VA","2011-11-10T11:58:57","2012-01-26T20:02:23","ASWA","WORKF","afc200100128922","","afc200100128922mv03","","207249920","",""
"VideoTapeCarrier","1845101-1-4 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845101-1-4","1/2"" VHS","4","1","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-4 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-4 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-4","","V","","","VA","2011-11-10T11:58:57","2012-01-26T18:53:31","ASWA","WORKF","afc200100128922","","afc200100128922mv04","","207249919","",""
"VideoTapeCarrier","1845101-1-5 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845101-1-5","1/2"" VHS","5","1","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-5 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-5 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-5","","V","","","VA","2011-11-10T11:58:57","2012-01-26T22:35:20","ASWA","WORKF","afc200100128922","","afc200100128922mv05","","207249907","",""
"VideoTapeCarrier","1845101-1-6 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845101-1-6","1/2"" VHS","6","1","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-6 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-6 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-6","","V","","","VA","2012-01-23T08:59:57","2012-01-26T22:34:17","KEPA","WORKF","afc200100128922","","","","","",""
"DigitalCarrier","1845101-2-1 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-2-1","Video/mxf","1","2","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-1 item:/VideoTapeCarrier/key/1845101-1-1","G","","","GA","2012-01-26T19:03:42","2012-01-26T19:04:08","WORKF","WORKF","afc200100128922","","","","","5FE48E90A9E4882E115C439E16B0BE03D66B7EE2",""
"DigitalCarrier","1845101-2-2 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-2-2","Video/mxf","2","2","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-2 item:/VideoTapeCarrier/key/1845101-1-2","G","","","GA","2012-01-26T20:05:46","2012-01-26T20:06:08","WORKF","WORKF","afc200100128922","","","","","57FF73C84DBD187B2A3755ADC33CBA1FC40393EA",""
"DigitalCarrier","1845101-2-3 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-2-3","Video/mxf","3","2","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-3 item:/VideoTapeCarrier/key/1845101-1-3","G","","","GA","2012-01-26T20:04:48","2012-01-26T20:05:13","WORKF","WORKF","afc200100128922","","","","","282B6A3817D0EE98A1437EFAC7A0203852044BEF",""
"DigitalCarrier","1845101-2-4 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-2-4","Video/mxf","4","2","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-4 item:/VideoTapeCarrier/key/1845101-1-4","G","","","GA","2012-01-26T18:52:50","2012-01-26T18:56:21","WORKF","WORKF","afc200100128922","","","","","709C9002574587E4C21B0D677895AB34EA939D58",""
"DigitalCarrier","1845101-2-5 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-2-5","Video/mxf","5","2","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-5 item:/VideoTapeCarrier/key/1845101-1-5","G","","","GA","2012-01-26T22:37:46","2012-01-26T22:38:09","WORKF","WORKF","afc200100128922","","","","","D164099C604EC891C80597A9B452C29004950DE1",""
"DigitalCarrier","1845101-2-6 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-2-6","Video/mxf","6","2","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-2-6 item:/VideoTapeCarrier/key/1845101-1-6","G","","","GA","2012-01-26T22:33:52","2012-01-26T22:37:07","WORKF","WORKF","afc200100128922","","","","","008019D85569645DFD2789EC1073E085F2956D34",""
"DigitalCarrier","1845101-3-1 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-3-1","Video/MPEG2","1","3","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-1 item:/VideoTapeCarrier/key/1845101-1-1","G","","","GA","2012-01-26T19:03:53","2012-01-26T19:04:08","WORKF","WORKF","afc200100128922","","","","","CA2D4E90F6264FAC486778F8BE5CB620A7A25549",""
"DigitalCarrier","1845101-3-2 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-3-2","Video/MPEG2","2","3","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-2 item:/VideoTapeCarrier/key/1845101-1-2","G","","","GA","2012-01-26T20:05:55","2012-01-26T20:06:08","WORKF","WORKF","afc200100128922","","","","","16A7212942D187DAFD13F3225AED11C697CA9D70",""
"DigitalCarrier","1845101-3-3 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-3-3","Video/MPEG2","3","3","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-3 item:/VideoTapeCarrier/key/1845101-1-3","G","","","GA","2012-01-26T20:04:58","2012-01-26T20:05:14","WORKF","WORKF","afc200100128922","","","","","A712BFBE90327E95AA484368031AC0D3BD51E975",""
"DigitalCarrier","1845101-3-4 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-3-4","Video/MPEG2","4","3","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-4 item:/VideoTapeCarrier/key/1845101-1-4","G","","","GA","2012-01-26T18:53:12","2012-01-26T18:56:21","WORKF","WORKF","afc200100128922","","","","","38502967C1298F839CD4C488E65F0E0E086DD045",""
"DigitalCarrier","1845101-3-5 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-3-5","Video/MPEG2","5","3","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-5 item:/VideoTapeCarrier/key/1845101-1-5","G","","","GA","2012-01-26T22:37:56","2012-01-26T22:38:09","WORKF","WORKF","afc200100128922","","","","","5264836F6C2CA4FE94136EB4C7250A0223D2459A",""
"DigitalCarrier","1845101-3-6 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-3-6","Video/MPEG2","6","3","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-3-6 item:/VideoTapeCarrier/key/1845101-1-6","G","","","GA","2012-01-26T22:34:07","2012-01-26T22:37:08","WORKF","WORKF","afc200100128922","","","","","63E4515E6A473D8D150697B6C2A515C1B14C78EF",""
