"Type","Title","Href","Descr","Carrier_No","Component_No","Copied_To_Items","Copied_From_Items","Format","File_format","File_size","Item_Type","Entered_Date","Modified_Date","Who_Entered","Who_Modified","AFC","AFS","AFCI","LCCN","ITEM_BARCODE_NUMBER","SHA1_DIGEST","OTHER"
"AudioTapeCarrier","1993036-1-1 KCCN heritage series collection: Hawaiian radio SR1","/AudioTapeCarrier/key/1993036-1-1","Analog Cassette","1","1","","","T","","","TA","2013-08-02T09:11:16","2013-08-05T07:52:26","MSEG","MSEG","afc1987008","","afc1987008:sr1","","333695571","",""
"VideoTapeCarrier","1980392-1-1 Katherine Dunham oral history, National Visionary Leadership Project ; 2002-05-15","/VideoTapeCarrier/key/1980392-1-1","1/2"" Betacam SP","1","1","","","V","","","VA","2013-09-24T10:38:33","2013-09-24T10:38:34","KSTE","KSTE","afc2004007","","afc2004007:037a.mv.001","","410163469","",""
"VideoTapeCarrier","1980392-1-2 Katherine Dunham oral history, National Visionary Leadership Project ; 2002-05-15","/VideoTapeCarrier/key/1980392-1-2","1/2"" Betacam SP","2","1","","","V","","","VA","2013-09-24T10:38:33","2013-09-24T10:38:34","KSTE","KSTE","afc2004007","","afc2004007:037a.mv.002","","410163470","",""
"VideoTapeCarrier","1980392-1-3 Katherine Dunham oral history, National Visionary Leadership Project ; 2002-05-15","/VideoTapeCarrier/key/1980392-1-3","1/2"" Betacam SP","3","1","","","V","","","VA","2013-09-24T10:38:33","2013-09-24T10:38:34","KSTE","KSTE","afc2004007","","afc2004007:037a.mv.003","","410163482","",""
"VideoTapeCarrier","1980392-2-1 Katherine Dunham oral history, National Visionary Leadership Project ; 2002-05-15","/VideoTapeCarrier/key/1980392-2-1","1/2"" VHS","1","2","","","V","","","VA","2014-09-15T11:53:41","2014-09-15T11:53:41","DGIB","DGIB","afc2004007","","","","228198717","",""
"VideoTapeCarrier","1980392-2-2 Katherine Dunham oral history, National Visionary Leadership Project ; 2002-05-15","/VideoTapeCarrier/key/1980392-2-2","1/2"" VHS","2","2","","","V","","","VA","2014-09-15T11:53:41","2014-09-15T11:53:41","DGIB","DGIB","afc2004007","","","","228198729","",""
"VideoTapeCarrier","1980392-2-3 Katherine Dunham oral history, National Visionary Leadership Project ; 2002-05-15","/VideoTapeCarrier/key/1980392-2-3","1/2"" VHS","3","2","","","V","","","VA","2014-09-15T11:53:41","2014-09-15T11:53:42","DGIB","DGIB","afc2004007","","","","228198730","",""
"AudioTapeCarrier","2198169-1-1 Karl Signell collection SR443","/AudioTapeCarrier/key/2198169-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T12:14:53","2015-09-15T12:14:53","MSEG","MSEG","afc1997032","","afc1997032:sr443","","410168856","",""
"AudioTapeCarrier","2198168-1-1 Karl Signell collection SR442","/AudioTapeCarrier/key/2198168-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T12:13:31","2015-09-15T12:13:31","MSEG","MSEG","afc1997032","","afc1997032:sr442","","410168844","",""
"AudioTapeCarrier","2198167-1-1 Karl Signell collection SR441","/AudioTapeCarrier/key/2198167-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T12:11:26","2015-09-15T12:11:27","MSEG","MSEG","afc1997032","","afc1997032:sr441","","410168832","",""
"AudioTapeCarrier","2198166-1-1 Karl Signell collection SR440","/AudioTapeCarrier/key/2198166-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T12:10:08","2015-09-15T12:10:09","MSEG","MSEG","afc1997032","","afc1997032:sr440","","410168881","",""
"AudioTapeCarrier","2198165-1-1 Karl Signell collection SR439","/AudioTapeCarrier/key/2198165-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T12:03:59","2015-09-15T12:04:00","MSEG","MSEG","afc1997032","","afc1997032:sr439","","0041016887a","",""
"AudioTapeCarrier","2198164-1-1 Karl Signell collection SR438","/AudioTapeCarrier/key/2198164-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T12:02:57","2015-09-15T12:02:58","MSEG","MSEG","afc1997032","","afc1997032:sr438","","410168868","",""
"AudioTapeCarrier","2198163-1-1 Karl Signell collection SR437","/AudioTapeCarrier/key/2198163-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T12:00:31","2015-09-15T12:00:32","MSEG","MSEG","afc1997032","","afc1997032:sr437","","410168807","",""
"AudioTapeCarrier","2198162-1-1 Karl Signell collection SR436","/AudioTapeCarrier/key/2198162-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T11:59:17","2015-09-15T11:59:17","MSEG","MSEG","afc1997032","","afc1997032:sr436","","410168790","",""
"AudioTapeCarrier","2198161-1-1 Karl Signell collection SR435","/AudioTapeCarrier/key/2198161-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T11:54:06","2015-09-15T11:54:06","MSEG","MSEG","afc1997032","","afc1997032:sr435","","410168789","",""
"AudioTapeCarrier","2198160-1-1 Karl Signell collection SR433","/AudioTapeCarrier/key/2198160-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T11:50:01","2015-09-15T11:50:02","MSEG","MSEG","afc1997032","","afc1997032:sr433","","410168820","",""
"AudioTapeCarrier","2198145-1-1 Karl Signell collection SR432","/AudioTapeCarrier/key/2198145-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:23:30","2015-09-15T08:23:30","MSEG","MSEG","afc1997032","","afc1997032:sr432","","410168819","",""
"AudioTapeCarrier","2198144-1-1 Karl Signell collection SR431","/AudioTapeCarrier/key/2198144-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:22:29","2015-09-15T08:22:29","MSEG","MSEG","afc1997032","","afc1997032:sr431","","410168741","",""
"AudioTapeCarrier","2198143-1-1 Karl Signell collection SR430","/AudioTapeCarrier/key/2198143-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:21:26","2015-09-15T08:21:27","MSEG","MSEG","afc1997032","","afc1997032:sr430","","0041016873a","",""
"AudioTapeCarrier","2198142-1-1 Karl Signell collection SR429","/AudioTapeCarrier/key/2198142-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:20:04","2015-09-15T08:20:05","MSEG","MSEG","afc1997032","","afc1997032:sr429","","410168728","",""
"AudioTapeCarrier","2198141-1-1 Karl Signell collection SR428","/AudioTapeCarrier/key/2198141-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:08:41","2015-09-15T08:08:43","MSEG","MSEG","afc1997032","","afc1997032:sr428","","410168716","",""
"AudioTapeCarrier","2198140-1-1 Karl Signell collection SR426","/AudioTapeCarrier/key/2198140-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:07:31","2015-09-15T08:07:31","MSEG","MSEG","afc1997032","","afc1997032:sr426","","410168777","",""
"AudioTapeCarrier","2198139-1-1 Karl Signell collection SR425","/AudioTapeCarrier/key/2198139-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:06:03","2015-09-15T08:06:03","MSEG","MSEG","afc1997032","","afc1997032:sr425","","410168765","",""
"AudioTapeCarrier","2198138-1-1 Karl Signell collection SR424","/AudioTapeCarrier/key/2198138-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-15T08:05:00","2015-09-15T08:05:00","MSEG","MSEG","afc1997032","","afc1997032:sr424","","410168753","",""
"AudioTapeCarrier","2197477-1-1 Karl Signell collection SR423","/AudioTapeCarrier/key/2197477-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:43:46","2015-09-01T10:43:47","MSEG","MSEG","afc1997032","","afc1997032:sr423","","410168674","",""
"AudioTapeCarrier","2197476-1-1 Karl Signell collection SR422","/AudioTapeCarrier/key/2197476-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:42:45","2015-09-01T10:42:45","MSEG","MSEG","afc1997032","","afc1997032:sr422","","410168686","",""
"AudioTapeCarrier","2197475-1-1 Karl Signell collection SR421","/AudioTapeCarrier/key/2197475-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:41:57","2015-09-01T10:41:57","MSEG","MSEG","afc1997032","","afc1997032:sr421","","410168698","",""
"AudioTapeCarrier","2197474-1-1 Karl Signell collection SR420","/AudioTapeCarrier/key/2197474-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:40:57","2015-09-01T10:40:58","MSEG","MSEG","afc1997032","","afc1997032:sr420","","410168704","",""
"AudioTapeCarrier","2197472-1-1 Karl Signell collection SR419","/AudioTapeCarrier/key/2197472-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:39:57","2015-09-01T10:39:57","MSEG","MSEG","afc1997032","","afc1997032:sr419","","410168649","",""
"AudioTapeCarrier","2197470-1-1 Karl Signell collection SR418","/AudioTapeCarrier/key/2197470-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:39:02","2015-09-01T10:39:02","MSEG","MSEG","afc1997032","","afc1997032:sr418","","410168650","",""
"AudioTapeCarrier","2197469-1-1 Karl Signell collection SR417","/AudioTapeCarrier/key/2197469-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:37:49","2015-09-01T10:37:50","MSEG","MSEG","afc1997032","","afc1997032:sr417","","410168662","",""
"AudioTapeCarrier","2197468-1-1 Karl Signell collection SR415","/AudioTapeCarrier/key/2197468-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:36:20","2015-09-01T10:36:21","MSEG","MSEG","afc1997032","","afc1997032:sr415","","410168625","",""
"AudioTapeCarrier","2197466-1-1 Karl Signell collection SR414","/AudioTapeCarrier/key/2197466-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:35:24","2015-09-01T10:35:25","MSEG","MSEG","afc1997032","","afc1997032:sr414","","410168637","",""
"AudioTapeCarrier","2197463-1-1 Karl Signell collection SR413","/AudioTapeCarrier/key/2197463-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:34:12","2015-09-01T10:34:12","MSEG","MSEG","afc1997032","","afc1997032:sr413","","410168583","",""
"AudioTapeCarrier","2197461-1-1 Karl Signell collection SR412","/AudioTapeCarrier/key/2197461-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:32:01","2015-09-01T10:32:02","MSEG","MSEG","afc1997032","","afc1997032:sr412","","410168595","",""
"AudioTapeCarrier","2197460-1-1 Karl Signell collection SR411","/AudioTapeCarrier/key/2197460-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T10:31:09","2015-09-01T10:31:10","MSEG","MSEG","afc1997032","","afc1997032:sr411","","410168601","",""
"AudioTapeCarrier","2197447-1-1 Karl Signell collection SR410","/AudioTapeCarrier/key/2197447-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:29:08","2015-09-01T09:29:09","MSEG","MSEG","afc1997032","","afc1997032:sr410","","410168558","",""
"AudioTapeCarrier","2197446-1-1 Karl Signell collection SR409","/AudioTapeCarrier/key/2197446-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:28:19","2015-09-01T09:28:19","MSEG","MSEG","afc1997032","","afc1997032:sr409","","0041016856a","",""
"AudioTapeCarrier","2197445-1-1 Karl Signell collection SR408","/AudioTapeCarrier/key/2197445-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:27:30","2015-09-01T09:27:30","MSEG","MSEG","afc1997032","","afc1997032:sr408","","410168571","",""
"AudioTapeCarrier","2197444-1-1 Karl Signell collection SR407","/AudioTapeCarrier/key/2197444-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:26:39","2015-09-01T09:26:40","MSEG","MSEG","afc1997032","","afc1997032:sr407","","410168522","",""
"AudioTapeCarrier","2197442-1-1 Karl Signell collection SR406","/AudioTapeCarrier/key/2197442-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:25:39","2015-09-01T09:25:41","MSEG","MSEG","afc1997032","","afc1997032:sr406","","410168510","",""
"AudioTapeCarrier","2197441-1-1 Karl Signell collection SR405","/AudioTapeCarrier/key/2197441-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:24:42","2015-09-01T09:24:43","MSEG","MSEG","afc1997032","","afc1997032:sr405","","410168509","",""
"AudioTapeCarrier","2197440-1-1 Karl Signell collection SR404","/AudioTapeCarrier/key/2197440-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:22:44","2015-09-01T09:22:44","MSEG","MSEG","afc1997032","","afc1997032:sr404","","410168546","",""
"AudioTapeCarrier","2197437-1-1 Karl Signell collection SR403","/AudioTapeCarrier/key/2197437-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-09-01T09:21:08","2015-09-01T09:21:09","MSEG","MSEG","afc1997032","","afc1997032:sr403","","410168534","",""
"AudioTapeCarrier","2107358-1-1 Karl Signell collection SR401","/AudioTapeCarrier/key/2107358-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:47:34","2015-05-08T10:47:34","MSEG","MSEG","afc1997032","","afc1997032:sr401","","290059203","",""
"AudioTapeCarrier","2107357-1-1 Karl Signell collection SR400","/AudioTapeCarrier/key/2107357-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:45:52","2015-05-08T10:45:53","MSEG","MSEG","afc1997032","","afc1997032:sr400","","290059215","",""
"AudioTapeCarrier","2107356-1-1 Karl Signell collection SR398","/AudioTapeCarrier/key/2107356-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:44:17","2015-05-08T10:44:18","MSEG","MSEG","afc1997032","","afc1997032:sr398","","290059173","",""
"AudioTapeCarrier","2107355-1-1 Karl Signell collection SR397","/AudioTapeCarrier/key/2107355-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:41:08","2015-05-08T10:41:10","MSEG","MSEG","afc1997032","","afc1997032:sr397","","290059161","",""
"AudioTapeCarrier","2107353-1-1 Karl Signell collection SR392","/AudioTapeCarrier/key/2107353-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:38:50","2015-05-08T10:38:51","MSEG","MSEG","afc1997032","","afc1997032:sr392","","290059112","",""
"AudioTapeCarrier","2107352-1-1 Karl Signell collection SR390","/AudioTapeCarrier/key/2107352-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:37:09","2015-05-08T10:37:10","MSEG","MSEG","afc1997032","","afc1997032:sr390","","290059094","",""
"AudioTapeCarrier","2107351-1-1 Karl Signell collection SR388","/AudioTapeCarrier/key/2107351-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:34:29","2015-05-08T10:34:30","MSEG","MSEG","afc1997032","","afc1997032:sr388","","290059070","",""
"AudioTapeCarrier","2107350-1-1 Karl Signell collection SR387","/AudioTapeCarrier/key/2107350-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:32:13","2015-05-08T10:32:14","MSEG","MSEG","afc1997032","","afc1997032:sr387","","290059069","",""
"AudioTapeCarrier","2107349-1-1 Karl Signell collection SR384","/AudioTapeCarrier/key/2107349-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:30:03","2015-05-08T10:30:04","MSEG","MSEG","afc1997032","","afc1997032:sr384","","290059033","",""
"AudioTapeCarrier","2107348-1-1 Karl Signell collection SR381","/AudioTapeCarrier/key/2107348-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:28:41","2015-05-08T10:28:42","MSEG","MSEG","afc1997032","","afc1997032:sr381","","290059008","",""
"AudioTapeCarrier","2107347-1-1 Karl Signell collection SR380","/AudioTapeCarrier/key/2107347-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:22:56","2015-05-08T10:22:57","MSEG","MSEG","afc1997032","","afc1997032:sr380","","290058995","",""
"AudioTapeCarrier","2107346-1-1 Karl Signell collection SR379","/AudioTapeCarrier/key/2107346-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:20:53","2015-05-08T10:20:53","MSEG","MSEG","afc1997032","","afc1997032:sr379","","290058983","",""
"AudioTapeCarrier","2107345-1-1 Karl Signell collection SR378","/AudioTapeCarrier/key/2107345-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:19:24","2015-05-08T10:19:25","MSEG","MSEG","afc1997032","","afc1997032:sr378","","290058971","",""
"AudioTapeCarrier","2107344-1-1 Karl Signell collection SR377","/AudioTapeCarrier/key/2107344-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:17:53","2015-05-08T10:17:54","MSEG","MSEG","afc1997032","","afc1997032:sr377","","0029005896a","",""
"AudioTapeCarrier","2107343-1-1 Karl Signell collection SR376","/AudioTapeCarrier/key/2107343-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:15:59","2015-05-08T10:16:01","MSEG","MSEG","afc1997032","","afc1997032:sr376","","290058958","",""
"AudioTapeCarrier","2107342-1-1 Karl Signell collection SR375","/AudioTapeCarrier/key/2107342-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T10:14:22","2015-05-08T10:14:23","MSEG","MSEG","afc1997032","","afc1997032:sr375","","290058946","",""
"AudioTapeCarrier","2107338-1-1 Karl Signell collection SR374","/AudioTapeCarrier/key/2107338-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:44:20","2015-05-08T09:44:21","MSEG","MSEG","afc1997032","","afc1997032:sr374","","290058934","",""
"AudioTapeCarrier","2107337-1-1 Karl Signell collection SR373","/AudioTapeCarrier/key/2107337-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:42:54","2015-05-08T09:42:55","MSEG","MSEG","afc1997032","","afc1997032:sr373","","290058922","",""
"AudioTapeCarrier","2107336-1-1 Karl Signell collection SR371","/AudioTapeCarrier/key/2107336-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:41:45","2015-05-08T09:41:46","MSEG","MSEG","afc1997032","","afc1997032:sr371","","290058909","",""
"AudioTapeCarrier","2107335-1-1 Karl Signell collection SR370","/AudioTapeCarrier/key/2107335-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:40:27","2015-05-08T09:40:28","MSEG","MSEG","afc1997032","","afc1997032:sr370","","290058818","",""
"AudioTapeCarrier","2107334-1-1 Karl Signell collection SR369","/AudioTapeCarrier/key/2107334-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:35:04","2015-05-08T09:35:05","MSEG","MSEG","afc1997032","","afc1997032:sr369","","290059197","",""
"AudioTapeCarrier","2107333-1-1 Karl Signell collection SR365","/AudioTapeCarrier/key/2107333-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:33:08","2015-05-08T09:33:08","MSEG","MSEG","afc1997032","","afc1997032:sr365","","290058582","",""
"AudioTapeCarrier","2107331-1-1 Karl Signell collection SR364","/AudioTapeCarrier/key/2107331-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:29:27","2015-05-08T09:29:27","MSEG","MSEG","afc1997032","","afc1997032:sr364","","0029005865a","",""
"AudioTapeCarrier","2107329-1-1 Karl Signell collection SR363","/AudioTapeCarrier/key/2107329-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:20:51","2015-05-08T09:20:52","MSEG","MSEG","afc1997032","","afc1997032:sr363","","290058648","",""
"AudioTapeCarrier","2107327-1-1 Karl Signell collection SR361","/AudioTapeCarrier/key/2107327-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:17:38","2015-05-08T09:17:39","MSEG","MSEG","afc1997032","","afc1997032:sr361","","290058624","",""
"AudioTapeCarrier","2107325-1-1 Karl Signell collection SR357","/AudioTapeCarrier/key/2107325-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:06:44","2015-05-08T09:06:45","MSEG","MSEG","afc1997032","","afc1997032:sr357","","290058661","",""
"AudioTapeCarrier","2107323-1-1 Karl Signell collection SR356","/AudioTapeCarrier/key/2107323-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T09:04:08","2015-05-08T09:04:09","MSEG","MSEG","afc1997032","","afc1997032:sr356","","290058739","",""
"AudioTapeCarrier","2107321-1-1 Karl Signell collection SR354","/AudioTapeCarrier/key/2107321-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T08:54:16","2015-05-08T08:54:18","MSEG","MSEG","afc1997032","","afc1997032:sr354","","290058715","",""
"AudioTapeCarrier","2107320-1-1 Karl Signell collection SR353","/AudioTapeCarrier/key/2107320-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T08:52:52","2015-05-08T08:52:53","MSEG","MSEG","afc1997032","","afc1997032:sr353","","290058703","",""
"AudioTapeCarrier","2107317-1-1 Karl Signell collection SR352","/AudioTapeCarrier/key/2107317-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T08:49:48","2015-05-08T08:49:48","MSEG","MSEG","afc1997032","","afc1997032:sr352","","290058776","",""
"AudioTapeCarrier","2107315-1-1 Karl Signell collection SR351","/AudioTapeCarrier/key/2107315-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T08:46:48","2015-05-08T08:46:49","MSEG","MSEG","afc1997032","","afc1997032:sr351","","290058764","",""
"AudioTapeCarrier","2107313-1-1 Karl Signell collection SR350","/AudioTapeCarrier/key/2107313-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T08:44:15","2015-05-08T08:44:16","MSEG","MSEG","afc1997032","","afc1997032:sr350","","290058752","",""
"AudioTapeCarrier","2107306-1-1 Karl Signell collection SR347","/AudioTapeCarrier/key/2107306-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:57:03","2015-05-08T07:57:04","MSEG","MSEG","afc1997032","","afc1997032:sr347","","290058806","",""
"AudioTapeCarrier","2107305-1-1 Karl Signell collection SR341","/AudioTapeCarrier/key/2107305-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:55:38","2015-05-08T07:55:38","MSEG","MSEG","afc1997032","","afc1997032:sr341","","290058892","",""
"AudioTapeCarrier","2107304-1-1 Karl Signell collection SR340","/AudioTapeCarrier/key/2107304-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:48:19","2015-05-08T07:48:19","MSEG","MSEG","afc1997032","","afc1997032:sr340","","290058855","",""
"AudioTapeCarrier","2107302-1-1 Karl Signell collection SR339","/AudioTapeCarrier/key/2107302-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:46:22","2015-05-08T07:46:23","MSEG","MSEG","afc1997032","","afc1997032:sr339","","290058867","",""
"AudioTapeCarrier","2107301-1-1 Karl Signell collection SR338","/AudioTapeCarrier/key/2107301-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:45:16","2015-05-08T07:45:17","MSEG","MSEG","afc1997032","","afc1997032:sr338","","0029005882a","",""
"AudioTapeCarrier","2107299-1-1 Karl Signell collection SR337","/AudioTapeCarrier/key/2107299-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:42:43","2015-05-08T07:42:43","MSEG","MSEG","afc1997032","","afc1997032:sr337","","290058831","",""
"AudioTapeCarrier","2107298-1-1 Karl Signell collection SR336","/AudioTapeCarrier/key/2107298-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:40:09","2015-05-08T07:40:09","MSEG","MSEG","afc1997032","","afc1997032:sr336","","290058843","",""
"AudioTapeCarrier","2107297-1-1 Karl Signell collection SR329","/AudioTapeCarrier/key/2107297-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:38:54","2015-05-08T07:38:54","MSEG","MSEG","afc1997032","","afc1997032:sr329","","0029005851a","",""
"AudioTapeCarrier","2107296-1-1 Karl Signell collection SR324","/AudioTapeCarrier/key/2107296-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:37:21","2015-05-08T07:37:22","MSEG","MSEG","afc1997032","","afc1997032:sr324","","290058430","",""
"AudioTapeCarrier","2107295-1-1 Karl Signell collection SR322","/AudioTapeCarrier/key/2107295-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:35:27","2015-05-08T07:35:27","MSEG","MSEG","afc1997032","","afc1997032:sr322","","290058454","",""
"AudioTapeCarrier","2107293-1-1 Karl Signell collection SR320","/AudioTapeCarrier/key/2107293-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:33:45","2015-05-08T07:33:45","MSEG","MSEG","afc1997032","","afc1997032:sr320","","290058399","",""
"AudioTapeCarrier","2107292-1-1 Karl Signell collection SR319","/AudioTapeCarrier/key/2107292-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:32:02","2015-05-08T07:32:02","MSEG","MSEG","afc1997032","","afc1997032:sr319","","290058405","",""
"AudioTapeCarrier","2107291-1-1 Karl Signell collection SR318","/AudioTapeCarrier/key/2107291-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:29:07","2015-05-08T07:29:07","MSEG","MSEG","afc1997032","","afc1997032:sr318","","290058429","",""
"AudioTapeCarrier","2107290-1-1 Karl Signell collection SR316","/AudioTapeCarrier/key/2107290-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:27:38","2015-05-08T07:27:38","MSEG","MSEG","afc1997032","","afc1997032:sr316","","290058387","",""
"AudioTapeCarrier","2107288-1-1 Karl Signell collection SR313","/AudioTapeCarrier/key/2107288-1-1","1/2"" Tape","1","1","","","T","","","TA","2015-05-08T07:26:28","2015-05-08T07:26:28","MSEG","MSEG","afc1997032","","afc1997032:sr313","","290058351","",""
"AudioTapeCarrier","2006427-1-1 Karl and the Country Dutchmen concert and interview collection, 2002 June 19 SR02","/AudioTapeCarrier/key/2006427-1-1","Analog Cassette","1","1","","","T","","","TA","2013-12-23T13:46:01","2013-12-23T13:46:01","MSEG","MSEG","afc2002013","","afc2002013:sr02","","410570671","",""
"AudioTapeCarrier","2006425-1-1 Karl and the Country Dutchmen concert and interview collection, 2002 June 19 SR01","/AudioTapeCarrier/key/2006425-1-1","Digital Audio Cassette","1","1","","","T","","","TA","2013-12-23T13:38:22","2013-12-23T13:38:22","MSEG","MSEG","afc2002013","","afc2002013:sr01","","0041057066a","",""
"VideoTapeCarrier","2006481-1-1 Karl and the Country Dutchmen concert and interview collection, 2002 June 19 MV01","/VideoTapeCarrier/key/2006481-1-1","Video8","1","1","copiedDate: 2015-04-22 copyItem:/DigitalCarrier/key/2006481-2-1 | copiedDate: 2015-04-22 copyItem:/DigitalCarrier/key/2006481-3-1","","V","","","VA","2013-12-24T08:04:01","2015-04-22T19:17:28","MSEG","WORKF","afc2002013","","afc2002013:mv01","","410576983","",""
"DigitalCarrier","2006481-2-1 Karl and the Country Dutchmen concert and interview collection, 2002 June 19 MV01","/DigitalCarrier/key/2006481-2-1","Video/mxf","1","2","","copiedDate: 2015-04-22 copyItem:/DigitalCarrier/key/2006481-2-1 item:/VideoTapeCarrier/key/2006481-1-1","G","","","GA","2015-04-22T18:17:13","2015-04-22T19:17:34","WORKF","WORKF","afc2002013","","","","","7BB8D1948AFBE5164221474DC3996F77C0085E55",""
"DigitalCarrier","2006481-3-1 Karl and the Country Dutchmen concert and interview collection, 2002 June 19 MV01","/DigitalCarrier/key/2006481-3-1","Video/MPEG4","1","3","","copiedDate: 2015-04-22 copyItem:/DigitalCarrier/key/2006481-3-1 item:/VideoTapeCarrier/key/2006481-1-1","G","","","GA","2015-04-22T18:17:24","2015-04-22T19:17:33","WORKF","WORKF","afc2002013","","","","","C0FBFD881D0F3232B72E18D41BCD4FE24230BEAB",""
